match_id,gamer_id,round1_name,round1_type,round1_win,round2_name,round2_type,round2_win,round3_name,round3_type,round3_win,round4_name,round4_type,round4_win,round5_name,round5_type,round5_win,round6_name,round6_type,round6_win,crown,date_played
155,5,Door Dash,Race,t,See Saw,Race,t,Slime Climb,Race,t,Block Party,Survival,t,Fall Ball,Team,t,Fall Mountain,Final,t,t,2020-08-18
138,5,Hit Parade,Race,t,Hoarders,Team,t,Egg Scramble,Team,t,Block Party,Survival,t,Fall Mountain,Final,t,,,,t,2020-08-18
160,5,Hit Parade,Race,t,Dizzy Heights,Race,t,Egg Scramble,Team,t,Block Party,Survival,f,,,,,,,f,2020-08-18
192,5,Gate Crash,Race,t,Slime Climb,Race,t,Fall Ball,Team,t,Royal Fumble,Final,t,,,,,,,t,2020-08-20
197,5,Door Dash,Race,t,Hit Parade,Race,t,Egg Scramble,Team,f,,,,,,,,,,f,2020-08-20
195,5,Dizzy Heights,Race,t,Perfect Match,Logic,t,Slime Climb,Race,t,Hoopsie Daisy,Team,t,Tip Toe,Race,f,,,,f,2020-08-20
161,5,The Whirlygig,Race,t,Hit Parade,Race,t,Slime Climb,Race,t,Rock n Roll,Team,t,Hex-a-Gone,Final,f,,,,f,2020-08-18
199,5,The Whirlygig,Race,t,Egg Scramble,Team,t,Tail Tag,Hunt,t,Hex-a-Gone,Final,t,,,,,,,t,2020-08-20
193,5,The Whirlygig,Race,t,Slime Climb,Race,t,Fall Ball,Team,t,Royal Fumble,Final,t,,,,,,,t,2020-08-20
221,5,Dizzy Heights,Race,t,Door Dash,Race,t,Slime Climb,Race,t,Rock n Roll,Team,t,Fall Mountain,Final,t,,,,t,2020-08-20
219,5,The Whirlygig,Race,t,Roll Out,Survival,t,Tip Toe,Race,f,,,,,,,,,,f,2020-08-20
198,5,Dizzy Heights,Race,t,Egg Scramble,Team,t,Tip Toe,Race,t,Hex-a-Gone,Final,f,,,,,,,f,2020-08-20
200,5,Gate Crash,Race,t,Roll Out,Survival,t,Rock n Roll,Team,t,,,,,,,,,,f,2020-08-20
203,5,See Saw,Race,t,Tail Tag,Team,t,Fruit Chute,Race,t,Tip Toe,Race,t,Fall Mountain,Final,t,,,,t,2020-08-20
202,5,Door Dash,Race,t,Egg Scramble,Team,t,Slime Climb,Race,t,Tip Toe,Race,t,Fall Mountain,Final,t,,,,t,2020-08-20
220,5,The Whirlygig,Race,t,Jinxed,Team,t,Block Party,Survival,t,Tip Toe,Race,t,Hex-a-Gone,Final,f,,,,f,2020-08-20
222,5,See Saw,Race,t,Roll Out,Survival,t,Rock n Roll,Team,t,Tip Toe,Race,t,Hex-a-Gone,Final,t,,,,t,2020-08-20
224,5,Hit Parade,Race,t,See Saw,Race,t,Tail Tag,Team,t,Slime Climb,Race,f,,,,,,,f,2020-08-20
223,5,Gate Crash,Race,t,Hoarders,Team,t,Slime Climb,Race,t,Tip Toe,Race,t,Fall Ball,Team,t,Royal Fumble,Final,t,t,2020-08-20
225,5,Door Dash,Race,t,Gate Crash,Race,t,Slime Climb,Race,t,Hoopsie Daisy,Team,t,Fall Mountain,Final,t,,,,t,2020-08-20
226,5,Gate Crash,Race,t,See Saw,Race,t,Hoarders,Team,t,Block Party,Survival,t,Fall Mountain,Final,f,,,,f,2020-08-20
227,5,The Whirlygig,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-20
67,5,Gate Crash,Race,t,Perfect Match,Logic,t,Tail Tag,Hunt,t,Fall Ball,Team,t,Fall Mountain,Final,f,,,,f,2020-08-15
71,5,The Whirlygig,Race,t,Tail Tag,Team,t,Slime Climb,Race,t,Tip Toe,Race,t,Fall Mountain,Final,f,,,,f,2020-08-17
106,5,Gate Crash,Race,t,,,,,,,,,,,,,,,,f,2020-08-17
73,5,The Whirlygig,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-17
115,5,Hit Parade,Race,t,Perfect Match,Logic,t,Jump Club,Survival,t,Fall Mountain,Final,f,,,,,,,f,2020-08-18
